kinetic_coeff,community_biomass_1_per_h,fit_NRMSE_vs_SynCom_timecourse,dG_3H11_kcal_per_gDW_biomass,dG_3H11_kcal_per_gDW_h,3H11_NO3_in_mmol_per_gDW_biomass,3H11_NO2_out_mmol_per_gDW_biomass,3H11_ATP_production_mmol_per_gDW_h,3H11_ATP_consumption_mmol_per_gDW_h,dG_R12_kcal_per_gDW_biomass,dG_R12_kcal_per_gDW_h,R12_NO3_in_mmol_per_gDW_biomass,R12_NO2_in_mmol_per_gDW_biomass,R12_N2O_out_mmol_per_gDW_biomass,R12_N2_out_mmol_per_gDW_biomass,R12_H2S_out_mmol_per_gDW_biomass,R12_ATP_production_mmol_per_gDW_h,R12_ATP_consumption_mmol_per_gDW_h
800,0.0,0.5955,,,,,0.0,0.0,,,,,,,,0.0,0.0
850,0.0,0.5955,,,,,0.0,0.0,,,,,,,,0.0,0.0
900,0.0,0.5955,,,,,0.0,0.0,,,,,,,,0.0,0.0
950,0.0,0.5955,,,,,0.0,0.0,,,,,,,,0.0,0.0
1000,0.00412,0.588,-2.736,-0.3803,86.09,86.09,21.8339,21.8339,-3.775,-0.0093,14.53,37.05,25.79,0,11.51,0.2523,0.2523
1050,0.04092,0.7393,-2.837,-0.3479,90.33,90.33,20.1941,20.1941,-4.824,-0.1184,37.63,27.78,32.7,0,1.02,2.5592,2.5592
1100,0.07831,3.9894,-2.938,-0.3142,94.56,94.56,18.4199,18.4199,-5.104,-0.2398,40.22,29.87,35.04,0,0.47,5.0566,5.0566
1150,0.12013,7.9243,-3.039,-0.3692,98.79,98.79,21.8457,21.8457,-5.77,-0.4159,0.0,107.4,53.7,0,0.35,7.6106,7.6106
1200,0.17571,13.6841,-3.14,-0.3658,103.04,103.04,21.8316,21.8316,-6.031,-0.6358,0.0,112.98,56.49,0,0.23,11.4698,11.4698
1250,0.22584,15.645,-3.242,-0.3626,107.28,107.28,21.8179,21.8179,-6.477,-0.8777,0.0,88.56,17.28,27.0,0.17,14.9425,14.9425
1300,0.26335,16.6283,-3.352,-0.3532,113.92,113.92,20.9013,20.9013,-6.562,-1.0369,0.0,75.94,0,37.97,0.14,17.7027,17.7027
1350,0.26335,16.6283,-3.405,-0.3586,113.92,113.92,21.8397,21.8397,-6.528,-1.0314,0.0,75.94,0,37.97,0,17.2123,17.2123
1400,0.26335,16.6283,-3.405,-0.3586,113.92,113.92,21.839,21.839,-6.528,-1.0314,0.0,75.94,0,37.97,0,17.2123,17.2123
