kinetic_coeff,community_biomass_1_per_h,dG_3H11_kcal_per_gDW_biomass,dG_R12_kcal_per_gDW_biomass,dG_3H11_kcal_per_gDW_h,dG_R12_kcal_per_gDW_h,R12_N2O_out_mmol_per_gDW_biomass,R12_N2_out_mmol_per_gDW_biomass,R12_NO3_in_mmol_per_gDW_biomass,R12_H2S_out_mmol_per_gDW_biomass,3H11_ATP_production_mmol_per_gDW_h,3H11_ATP_consumption_mmol_per_gDW_h,R12_ATP_production_mmol_per_gDW_h,R12_ATP_consumption_mmol_per_gDW_h,fit_NRMSE_vs_SynCom_timecourse
2000,0.0,,,,,,,,,,,,,0.5955
2500,0.0,,,,,,,,,,,,,0.5955
3000,0.0,,,,,,,,,,,,,0.5955
3500,0.0,,,,,,,,,,,,,0.5955
4000,0.0,,,,,,,,,,,,,0.5955
4050,0.0,,,,,,,,,,,,,0.5955
4100,0.0,,,,,,,,,,,,,0.5955
4150,0.0,,,,,,,,,,,,,0.5955
4200,0.0,,,,,,,,,,,,,0.5955
4250,0.07711,-10.563,-22.964,-0.3275,-1.0624,0,129.69,0.0,0.14,20.0016,20.0016,19.7711,19.7711,3.3106
4300,0.07727,-10.663,-22.872,-0.3296,-1.0603,0,129.42,0.0,0.14,20.3477,20.3477,19.6017,19.6017,3.3176
4350,0.07727,-10.758,-22.809,-0.3325,-1.0574,0,129.42,0.0,0.14,20.8157,20.8157,19.3677,19.3677,3.3176
4400,0.07727,-10.82,-22.767,-0.3344,-1.0555,0,129.42,0.0,0,21.1414,21.1414,19.1985,19.1985,3.3176
4500,0.07727,-10.82,-22.767,-0.3344,-1.0555,0,129.42,0.0,0,21.1414,21.1414,19.192,19.192,3.3176
4750,0.07727,-10.82,-22.767,-0.3344,-1.0555,0,129.42,0.0,0,21.1414,21.1414,19.192,19.192,3.3176
5000,0.07727,-10.82,-22.767,-0.3344,-1.0555,0,129.42,0.0,0,21.1414,21.1414,19.1985,19.1985,3.3176
